x,y,Class
3.925084298,-3.745312652,1
-0.255449399,-0.23822058,-1
-3.669503677,3.606630798,1
-0.407400971,0.98005796,-1
5.033866357,0.322855726,1
0.514960094,-1.000839606,-1
-2.839488257,4.319006534,1
-0.018359651,-0.000847832,-1
4.254150911,2.69478822,1
0.105230296,0.163224982,-1
-0.045219377,5.040742406,1
0.525575365,-0.63533915,-1
-5.045321533,-0.591731601,1
-1.476809314,-0.246054582,-1
5.185290798,-0.454127157,1
0.185650904,-0.181293896,-1
-4.955033399,-1.828167777,1
-0.817911824,0.77788068,-1
-5.25202987,-0.54099991,1
-1.086835592,-1.000938918,-1
-4.765214935,-1.628794076,1
0.297920993,0.01075031,-1
4.670673109,2.311842274,1
-0.865195666,0.27773789,-1
-1.555893978,-5.0936606,1
-0.183692442,0.139055891,-1
-2.104794226,-4.658427605,1
-0.780707372,0.346703798,-1
4.165546741,-2.779229095,1
0.235717443,-0.593662381,-1
-4.906177597,-1.072435564,1
-0.27522323,1.072429217,-1
-3.257608019,-4.206139136,1
0.141469995,0.58452436,-1
-4.901876627,1.442454493,1
1.407102024,-0.069363748,-1
-4.968152997,-1.310292064,1
-0.982919143,-0.44532652,-1
4.8905099,1.731762158,1
0.776671354,-0.697338763,-1
-0.578261551,-4.988539312,1
-0.433175136,0.814416793,-1
-0.266006194,5.123160202,1
0.452366142,0.191351612,-1
4.90742833,-1.367729305,1
0.684229103,-0.07675879,-1
3.464208308,3.812747255,1
-0.351277481,0.952003997,-1
4.082872105,-3.144162049,1
-1.270017602,0.34057185,-1
-4.925789625,1.712109672,1
0.0355446,-0.041180191,-1
4.700703602,2.650313356,1
0.87402043,0.210140789,-1
1.783892416,4.77575468,1
0.632560105,-0.368931134,-1
0.291950263,5.360174393,1
0.214104828,0.395979198,-1
-5.078163004,1.612029601,1
0.362815902,-1.079026772,-1
-1.333990035,4.977988134,1
-0.129310047,-0.92066322,-1
-0.160676716,5.45315634,1
-0.650182469,-1.057458739,-1
-2.330520993,-4.849068129,1
-0.733709635,0.453152808,-1
3.891049285,3.482992201,1
1.368073343,-0.217320577,-1
-3.111511574,4.18017839,1
0.992098587,-0.299158393,-1
3.256463553,-4.215880058,1
-0.739103434,0.381920547,-1
-0.926290806,-5.057019559,1
0.187850225,0.15921076,-1
-2.993285794,-4.471708184,1
-0.213131814,-0.562666952,-1
-1.735765058,4.835324007,1
0.025274242,0.279924118,-1
-0.93704961,5.309354604,1
0.39664049,0.382110813,-1
